# XLSX: 02.1_股权结构及历次变动台账_20260712

## SHEET: 当前股权结构  (rows=6, cols=7)
A4=股东 | B4=认缴出资（万元） | C4=实缴出资（万元） | D4=内部台账持股比例 | E4=出资期限 | F4=权利负担 | G4=备注
A5=陆屿 | B5=1200 | C5=1000 | D5=0.60 | E5=2026-06-30 | F5=未登记质押 | G5=创始股东/法定代表人
A6=澂江创业投资有限公司 | B6=500 | C6=500 | D6=0.25 | E6=2024-09-30 | F6=未登记质押 | G6=A轮投资人
A7=霁川智链员工持股平台（有限合伙） | B7=160 | C7=160 | D7=0.08 | E7=2024-09-30 | F7=未登记质押 | G7=员工持股平台
A8=其他创始股东 | B8=140 | C8=140 | D8=0.07 | E8=2024-09-30 | F8=未登记质押 | G8=早期创始团队
A9=合计 | B9=2000 | C9=1800 | D9=1.0 | E9=— | F9=— | G9=内部台账合计

## SHEET: 历次变动  (rows=5, cols=6)
A4=日期 | B4=事项 | C4=转让/增资方 | D4=受让/认购方 | E4=比例/金额 | F4=归档文件
A5=2019-06-18 | B5=设立 | C5=— | D5=陆屿等创始股东 | E5=注册资本500万元 | F5=01.1
A6=2021-08-20 | B6=增资 | C6=— | D6=创始团队 | E6=注册资本增至1,200万元 | F6=01.1
A7=2023-04-11 | B7=A轮增资 | C7=— | D7=澂江创业投资有限公司 | E7=25% | F7=01.1/02.1
A8=2024-09-26 | B8=员工平台受让 | C8=转让方见协议 | D8=霁川智链员工持股平台（有限合伙） | E8=8% | F8=02.3

## SHEET: 激励安排  (rows=4, cols=6)
A4=批次 | B4=授予人数 | C4=对应平台份额 | D4=归属期 | E4=离职处理 | F4=状态
A5=2024-01 | B5=12 | C5=平台份额45% | D5=4年/1年悬崖 | E5=按合伙协议回购 | F5=执行中
A6=2025-02 | B6=8 | C6=平台份额22% | D6=4年/1年悬崖 | E6=按合伙协议回购 | F6=执行中
A7=预留 | B7=— | C7=平台份额33% | D7=— | E7=— | F7=未授予
