# XLSX: 02.1_股权结构及历次变动台账_20260922

## SHEET: 当前股权结构  (rows=6, cols=7)
A4=股东 | B4=认缴出资（万元） | C4=实缴出资（万元） | D4=内部台账持股比例 | E4=出资期限 | F4=权利负担 | G4=备注
A5=苏砚 | B5=1280 | C5=1150 | D5=0.64 | E5=2026-09-30 | F5=未登记质押 | G5=创始股东/法定代表人
A6=璞石产业投资基金（苏州）有限公司 | B6=520 | C6=520 | D6=0.26 | E6=2024-09-30 | F6=未登记质押 | G6=A轮投资人
A7=琢微半导体员工持股平台（有限合伙） | B7=240 | C7=240 | D7=0.12 | E7=2024-09-30 | F7=未登记质押 | G7=员工持股平台
A8=其他创始股东 | B8=160 | C8=160 | D8=0.08 | E8=2024-09-30 | F8=未登记质押 | G8=早期创始团队
A9=合计 | B9=2000 | C9=1900 | D9=1.0 | E9=— | F9=— | G9=内部台账合计

## SHEET: 历次变动  (rows=5, cols=6)
A4=日期 | B4=事项 | C4=转让/增资方 | D4=受让/认购方 | E4=比例/金额 | F4=归档文件
A5=2018-03-12 | B5=设立 | C5=— | D5=苏砚等创始股东 | E5=注册资本800万元 | F5=01.1
A6=2020-05-20 | B6=增资 | C6=— | D6=创始团队 | E6=注册资本增至1,500万元 | F6=01.1
A7=2022-08-15 | B7=A轮增资 | C7=— | D7=璞石产业投资基金（苏州）有限公司 | E7=26% | F7=01.1/02.1
A8=2024-09-26 | B8=员工平台受让 | C8=转让方见协议 | D8=琢微半导体员工持股平台（有限合伙） | E8=12% | F8=02.3

## SHEET: 激励安排  (rows=4, cols=6)
A4=批次 | B4=授予人数 | C4=对应平台份额 | D4=归属期 | E4=离职处理 | F4=状态
A5=2024-01 | B5=15 | C5=平台份额45% | D5=4年/1年悬崖 | E5=按合伙协议回购 | F5=执行中
A6=2025-02 | B6=10 | C6=平台份额22% | D6=4年/1年悬崖 | E6=按合伙协议回购 | F6=执行中
A7=预留 | B7=— | C7=平台份额33% | D7=— | E7=— | F7=未授予
